compound_id,standard_inchi_key,compound_name,synonym,target_id,target_pref_name,gene_names,wildtype_or_mutant,mutation_info,pubmed_id,standard_type,standard_relation,standard_value,standard_units,activity_comment,ep_action_mode,assay_format,assaytype,assay_subtype,inhibitor_type,detection_tech,assay_cell_line,compound_concentration_value,compound_concentration_value_unit,substrate_type,substrate_relation,substrate_value,substrate_units,assay_description,title,journal,doc_type,annotation_comments
CHEMBL336100,AAADQEFQWNJHOZ-UHFFFAOYSA-N,,,P31645,SEROTONIN TRANSPORTER,SLC6A4,,,12213053,IC50,=,129,NM,,"",cell_based,"","","","",,,,,,,,Inhibition of 5-HT uptake in HEK cells expressing human serotonin transporter (hSERT),Mazindol analogues as potential inhibitors of the cocaine binding site at the dopamine transporter.,J. Med. Chem.,PUBLICATION,
CHEMBL336100,AAADQEFQWNJHOZ-UHFFFAOYSA-N,,,P31645,SEROTONIN TRANSPORTER,SLC6A4,,,12213053,KI,=,38.1,NM,,"",cell_based,"","","","",,,,,,,,Displacement of [125I]- RTI-55 from Serotonin transporter expressed in HEK cells,Mazindol analogues as potential inhibitors of the cocaine binding site at the dopamine transporter.,J. Med. Chem.,PUBLICATION,
CHEMBL14144,AAEKULYONKUBOZ-UHFFFAOYSA-N,,,P31645,SEROTONIN TRANSPORTER,SLC6A4,,,14971892,KI,=,390,NM,,"",cell_based,"","","","",,,,,,,,Inhibition of [125I]RTI-55 binding to human serotonin transporter expressed in human embryonic kidney cells,"Synthesis, radiosynthesis, and biological evaluation of carbon-11 and iodine-123 labeled 2beta-carbomethoxy-3beta-[4'-((Z)-2-haloethenyl)phenyl]tropanes: candidate radioligands for in vivo imaging of the serotonin transporter.",J. Med. Chem.,PUBLICATION,
CHEMBL3323101,AAHLCKVWZXFMPB-UHFFFAOYSA-N,,,P31645,SEROTONIN TRANSPORTER,SLC6A4,,,25050161,IC50,=,170,NM,,"",cell_based,"","","","",,,,,,,,Displacement of [3H]Citolapram from human SERT expressed in HEK293E cells after 1 hr by liquid scintillation counting,,ACS Med. Chem. Lett.,PUBLICATION,
CHEMBL3323101,AAHLCKVWZXFMPB-UHFFFAOYSA-N,,,P31645,SEROTONIN TRANSPORTER,SLC6A4,,,,Ki,=,137,NM,314474,"","","","","","",,,,,,,,"BindingDB_Patents: Binding Assay. In order to evaluate the relative affinity of the various compounds at the NE, DA and 5HT transporters, HEK293E cell lines were developed to express each of the three human transporters. cDNAs containing the complete coding regions of each transporter were amplified by PCR from human brain libraries. The cDNAs contained in pCRII vectors were sequenced to verify their identity and then subcloned into an Epstein-Barr virus based expression plasmid (Shen et al., Gene 156:235-239 (1995), which is hereby incorporated by reference in its entirety). This plasmid containing the coding sequence for one of the human transporters was transfected into HEK93E cells. Successful transfection was verified by the ability of known reuptake blockers to inhibit the uptake of tritiated NE, DA or 5HT.For binding, cells were homogenized, centrifuged, and then resuspended in incubation buffer (5 mM Tris, 120 mM NaCl, 5 mM KCl, pH 7.4). Then, the appropriate radioligand was added.","Aryl- and heteroaryl-substituted tetrahydroisoquinolines and use thereof to block reuptake of norepinephrine, dopamine, and serotonin",,PATENT,
CHEMBL3609637,AAHNBILIYONQLX-UHFFFAOYSA-N,,,P31645,SEROTONIN TRANSPORTER,SLC6A4,,,26212776,IC50,=,32,NM,,"","","","","","",,,,,,,,Inhibition of SERT (unknown origin),Discovery of novel triazolobenzazepinones as ¿-secretase modulators with central Aß42 lowering in rodents and rhesus monkeys.,Bioorg. Med. Chem. Lett.,PUBLICATION,
CHEMBL12,AAOVKJBEBIDNHE-UHFFFAOYSA-N,DIAZEPAM,,P31645,SEROTONIN TRANSPORTER,SLC6A4,,,,IC50,,,,Not Active (inhibition < 50% @ 10 uM and thus dose-reponse curve not measured),"","","","","","",HEK293,,,,,,,"DRUGMATRIX: Transporter, Serotonin (5-Hydroxytryptamine) (SERT) radioligand binding (ligand: [3H] Paroxetine)",DrugMatrix in vitro pharmacology data,,DATASET,
CHEMBL12,AAOVKJBEBIDNHE-UHFFFAOYSA-N,DIAZEPAM,,P31645,SEROTONIN TRANSPORTER,SLC6A4,,,,KI,,,,Not Active (inhibition < 50% @ 10 uM and thus dose-reponse curve not measured),"","","","","","",HEK293,,,,,,,"DRUGMATRIX: Transporter, Serotonin (5-Hydroxytryptamine) (SERT) radioligand binding (ligand: [3H] Paroxetine)",DrugMatrix in vitro pharmacology data,,DATASET,
CHEMBL488069,AAQZZAVVFRIEOD-UHFFFAOYSA-N,,,P31645,SEROTONIN TRANSPORTER,SLC6A4,,,18948001,IC50,=,17.1,NM,,"","","","","","",,,,,,,,Inhibition of serotonin reuptake at SERT,"Quantitative structure-activity relationship of phenoxyphenyl-methanamine compounds with 5HT2A, SERT, and hERG activities.",Bioorg. Med. Chem. Lett.,PUBLICATION,
CHEMBL26649,AASZEODWFQQIRF-UHFFFAOYSA-N,,,P31645,SEROTONIN TRANSPORTER,SLC6A4,,,18393401,KI,=,36,NM,,"","","","","","",,,,,,,,Displacement of [125I]RTI55 from SERT,"Design and synthesis of 2- and 3-substituted-3-phenylpropyl analogs of 1-[2-[bis(4-fluorophenyl)methoxy]ethyl]-4-(3-phenylpropyl)piperazine and 1-[2-(diphenylmethoxy)ethyl]-4-(3-phenylpropyl)piperazine: role of amino, fluoro, hydroxyl, methoxyl, methyl, methylene, and oxo substituents on affinity for the dopamine and serotonin transporters.",J. Med. Chem.,PUBLICATION,
