CHEMBL336100,AAADQEFQWNJHOZ-UHFFFAOYSA-N,,,P23975,NOREPINEPHRINE TRANSPORTER,SLC6A2,,,12213053,IC50,=,5,NM,,"",cell_based,"","","","",,,,,,,,Inhibition of NE uptake in HEK cells expressing human noradrenaline transporter (hNET),Mazindol analogues as potential inhibitors of the cocaine binding site at the dopamine transporter.,J. Med. Chem.,PUBLICATION,
CHEMBL336100,AAADQEFQWNJHOZ-UHFFFAOYSA-N,,,P23975,NOREPINEPHRINE TRANSPORTER,SLC6A2,,,12213053,KI,=,0.9,NM,,"",cell_based,"","","","",,,,,,,,Displacement of [125I]RTI-55 from human Norepinephrine transporter expressed in HEK cells,Mazindol analogues as potential inhibitors of the cocaine binding site at the dopamine transporter.,J. Med. Chem.,PUBLICATION,
CHEMBL14144,AAEKULYONKUBOZ-UHFFFAOYSA-N,,,P23975,NOREPINEPHRINE TRANSPORTER,SLC6A2,,,14971892,KI,=,242.29,NM,,"","","","","","",,,,,,,,In vitro binding affinity against human norepinephrine transporter in human embryonic kidney cell line by using [3H]-nisoxatine radioligand,"Synthesis, radiosynthesis, and biological evaluation of carbon-11 and iodine-123 labeled 2beta-carbomethoxy-3beta-[4'-((Z)-2-haloethenyl)phenyl]tropanes: candidate radioligands for in vivo imaging of the serotonin transporter.",J. Med. Chem.,PUBLICATION,
CHEMBL3323101,AAHLCKVWZXFMPB-UHFFFAOYSA-N,,,P23975,NOREPINEPHRINE TRANSPORTER,SLC6A2,,,25050161,IC50,=,6,NM,,"",cell_based,"","","","",,,,,,,,Displacement of [3H]Nisoxetine from human NET expressed in HEK293E cells after 1 hr by liquid scintillation counting,,ACS Med. Chem. Lett.,PUBLICATION,
CHEMBL3323101,AAHLCKVWZXFMPB-UHFFFAOYSA-N,,,P23975,NOREPINEPHRINE TRANSPORTER,SLC6A2,,,,KI,=,3.8,NM,,"","","","","","",,,,,,,,"BindingDB_Patents: Binding Assay. In order to evaluate the relative affinity of the various compounds at the NE, DA and 5HT transporters, HEK293E cell lines were developed to express each of the three human transporters. cDNAs containing the complete coding regions of each transporter were amplified by PCR from human brain libraries. The cDNAs contained in pCRII vectors were sequenced to verify their identity and then subcloned into an Epstein-Barr virus based expression plasmid (Shen et al., Gene 156:235-239 (1995), which is hereby incorporated by reference in its entirety). This plasmid containing the coding sequence for one of the human transporters was transfected into HEK93E cells. Successful transfection was verified by the ability of known reuptake blockers to inhibit the uptake of tritiated NE, DA or 5HT.For binding, cells were homogenized, centrifuged, and then resuspended in incubation buffer (5 mM Tris, 120 mM NaCl, 5 mM KCl, pH 7.4). Then, the appropriate radioligand was added.","Aryl- and heteroaryl-substituted tetrahydroisoquinolines and use thereof to block reuptake of norepinephrine, dopamine, and serotonin",,PATENT,
CHEMBL3323101,AAHLCKVWZXFMPB-UHFFFAOYSA-N,,,P23975,NOREPINEPHRINE TRANSPORTER,SLC6A2,,,,KI,=,5.8,NM,,"","","","","","",,,,,,,,"BindingDB_Patents: Binding Assay. In order to evaluate the relative affinity of the various compounds at the NE, DA and 5HT transporters, HEK293E cell lines were developed to express each of the three human transporters. cDNAs containing the complete coding regions of each transporter were amplified by PCR from human brain libraries. The cDNAs contained in pCRII vectors were sequenced to verify their identity and then subcloned into an Epstein-Barr virus based expression plasmid (Shen et al., Gene 156:235-239 (1995), which is hereby incorporated by reference in its entirety). This plasmid containing the coding sequence for one of the human transporters was transfected into HEK93E cells. Successful transfection was verified by the ability of known reuptake blockers to inhibit the uptake of tritiated NE, DA or 5HT.For binding, cells were homogenized, centrifuged, and then resuspended in incubation buffer (5 mM Tris, 120 mM NaCl, 5 mM KCl, pH 7.4). Then, the appropriate radioligand was added.","Aryl- and heteroaryl-substituted tetrahydroisoquinolines and use thereof to block reuptake of norepinephrine, dopamine, and serotonin",,PATENT,
CHEMBL3323101,AAHLCKVWZXFMPB-UHFFFAOYSA-N,,,P23975,NOREPINEPHRINE TRANSPORTER,SLC6A2,,,,KI,=,137,NM,,"","","","","","",,,,,,,,"BindingDB_Patents: Binding Assay. In order to evaluate the relative affinity of the various compounds at the NE, DA and 5HT transporters, HEK293E cell lines were developed to express each of the three human transporters. cDNAs containing the complete coding regions of each transporter were amplified by PCR from human brain libraries. The cDNAs contained in pCRII vectors were sequenced to verify their identity and then subcloned into an Epstein-Barr virus based expression plasmid (Shen et al., Gene 156:235-239 (1995), which is hereby incorporated by reference in its entirety). This plasmid containing the coding sequence for one of the human transporters was transfected into HEK93E cells. Successful transfection was verified by the ability of known reuptake blockers to inhibit the uptake of tritiated NE, DA or 5HT.For binding, cells were homogenized, centrifuged, and then resuspended in incubation buffer (5 mM Tris, 120 mM NaCl, 5 mM KCl, pH 7.4). Then, the appropriate radioligand was added.","Aryl- and heteroaryl-substituted tetrahydroisoquinolines and use thereof to block reuptake of norepinephrine, dopamine, and serotonin",,PATENT,
CHEMBL3323101,AAHLCKVWZXFMPB-UHFFFAOYSA-N,,,P23975,NOREPINEPHRINE TRANSPORTER,SLC6A2,,,,Ki,=,5.8,NM,314414,"","","","","","",,,,,,,,"BindingDB_Patents: Binding Assay. In order to evaluate the relative affinity of the various compounds at the NE, DA and 5HT transporters, HEK293E cell lines were developed to express each of the three human transporters. cDNAs containing the complete coding regions of each transporter were amplified by PCR from human brain libraries. The cDNAs contained in pCRII vectors were sequenced to verify their identity and then subcloned into an Epstein-Barr virus based expression plasmid (Shen et al., Gene 156:235-239 (1995), which is hereby incorporated by reference in its entirety). This plasmid containing the coding sequence for one of the human transporters was transfected into HEK93E cells. Successful transfection was verified by the ability of known reuptake blockers to inhibit the uptake of tritiated NE, DA or 5HT.For binding, cells were homogenized, centrifuged, and then resuspended in incubation buffer (5 mM Tris, 120 mM NaCl, 5 mM KCl, pH 7.4). Then, the appropriate radioligand was added.","Aryl- and heteroaryl-substituted tetrahydroisoquinolines and use thereof to block reuptake of norepinephrine, dopamine, and serotonin",,PATENT,
CHEMBL12,AAOVKJBEBIDNHE-UHFFFAOYSA-N,DIAZEPAM,,P23975,NOREPINEPHRINE TRANSPORTER,SLC6A2,,,,IC50,,,,Not Active (inhibition < 50% @ 10 uM and thus dose-reponse curve not measured),"","","","","","",MDCK,,,,,,,DRUGMATRIX: Norepinephrine Transporter radioligand binding (ligand: [125I] RTI-55),DrugMatrix in vitro pharmacology data,,DATASET,
CHEMBL12,AAOVKJBEBIDNHE-UHFFFAOYSA-N,DIAZEPAM,,P23975,NOREPINEPHRINE TRANSPORTER,SLC6A2,,,,KI,,,,Not Active (inhibition < 50% @ 10 uM and thus dose-reponse curve not measured),"","","","","","",MDCK,,,,,,,DRUGMATRIX: Norepinephrine Transporter radioligand binding (ligand: [125I] RTI-55),DrugMatrix in vitro pharmacology data,,DATASET,
